TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1588000 -263.522 -256.127 -271.259 -25.571 -51.6686 -25.5616
1589000 -266.727 -276.572 -303.993 -90.1898 2.63814 -52.6589
1590000 -227.167 -213.557 -163.578 -129.291 -53.0877 -33.1158
1591000 -232.477 -284.961 -225.771 15.4711 -72.1892 -41.431
1592000 -109.186 -385.382 -249.808 -40.5675 -84.575 -1.89915
1593000 -239.126 -304.477 -281.022 17.224 53.8746 5.20786
1594000 -117.799 -274.897 -247.849 -78.561 -61.3017 -12.1782
1595000 -42.9082 -328.966 -226.947 -59.2124 -42.2047 21.535
1596000 -161.157 -270.861 -291.953 20.3927 41.2088 -47.3243
1597000 -282.014 -205.202 -249.801 -23.7383 73.5067 -45.0662
1598000 -224.612 -295.804 -209.482 -121.238 -85.6833 13.0519
1599000 -310.777 -210.086 -186.972 -20.1595 -68.9224 34.81
1600000 -213.019 -206.291 -102.947 -1.49427 40.6926 5.22067
1601000 -166.46 -171.367 5.42774 -87.8002 -42.6897 67.7028
1602000 -224.718 20.8961 -75.4704 -176.146 -20.2994 -51.0894
1603000 -75.4031 -22.3892 5.37292 -116.671 27.9169 88.022
1604000 -109.808 -78.8038 -161.449 -99.982 62.0608 6.07886
1605000 -165.216 -116.17 -241.639 -24.9863 8.98988 31.2221
1606000 -194.233 -181.045 -188.457 -106.507 -19.3642 61.4182
1607000 -230.723 -254.009 -113.516 -154.425 -131.967 -24.4402
1608000 -102.197 -269.567 -237.905 -87.2615 -73.7289 5.82295
1609000 -197.682 -238.362 -270.028 -142.166 -111.618 -37.365
1610000 -204.134 -203.994 -215.663 -44.9994 -105.686 65.2733
1611000 -174.681 -351.729 -284.011 -165.449 -142.276 31.5398
1612000 -116.144 -175.343 -101.383 -157.771 -129.078 62.3447
1613000 -243.983 -305.298 -280.002 -105.991 -129.643 25.7883
1614000 -96.6528 -233.643 -259.039 -35.4068 -64.4736 62.6542
1615000 -54.6087 -180.095 -264.195 -38.1803 -49.9423 36.7036
1616000 -67.4848 -170.917 -190.266 -27.1764 -113.282 93.6358
1617000 -147.133 -151.237 -131.668 -3.46631 30.7701 -23.323
1618000 -131.146 -255.3 -249.488 -14.1638 -122.508 49.0819
1619000 -154.657 -297.783 -139.866 -37.3794 -86.6106 -2.62282
1620000 -155.407 -197.777 -203.374 -46.7814 -101.862 7.54836
1621000 -256.774 -237.175 -86.7055 -71.3276 25.9233 26.0105
1622000 -201.531 -211.688 -114.687 20.2543 -37.1362 6.13754
1623000 -224.383 -72.6674 -311.163 -23.7224 -65.9733 22.5399
1624000 -190.909 -200.576 -82.3567 -21.559 12.5649 31.924
1625000 -128.639 -189.08 -196.277 -23.6504 -138.413 44.4906
1626000 -116.669 -130.185 -123.313 -24.8438 -24.9285 101.516
1627000 -194.356 -134.437 -81.9748 -96.1461 -10.8715 28.061
1628000 -212.936 -241.697 -203.355 -50.1319 -4.51494 8.48535
1629000 -237.795 -224.022 -217.81 34.5819 -73.8088 -57.6464
1630000 -47.792 -134.285 -77.2621 26.3356 -19.0636 95.2983
1631000 -116.823 -62.1908 -85.9267 -92.8646 -77.9449 -53.8189
1632000 -175.348 -238.908 -113.046 27.8223 45.9076 -21.6757
1633000 -6.18304 -159.533 -55.282 -48.8851 -85.4008 38.0199
1634000 -17.8918 -272.153 -121.493 -31.2691 -6.91921 -47.0096
1635000 -142.369 -282.704 -145.116 -90.5444 -55.31 -39.1256
1636000 -77.4056 -153.677 -131.295 48.8969 -80.642 40.6399
1637000 -159.854 -98.0175 -75.9619 -61.8036 -6.41192 -13.0584
1638000 -31.0734 -138.721 -247.512 -4.89799 85.4999 15.4466
1639000 -10.0146 -140.512 -227.453 61.858 -15.0102 55.7329
1640000 -93.5562 -73.7492 -90.2886 -62.4025 -60.4759 -1.93164
1641000 145.943 26.8436 -88.046 -74.4293 -47.1091 -42.5468
1642000 -80.0849 -128.81 -26.7913 15.1464 -8.52006 48.7823
1643000 -83.4634 -59.4777 -157.705 -30.1978 20.981 19.3046
1644000 -45.0788 -62.0186 -122.806 -26.5464 -89.6118 34.3463
1645000 -140.453 -141.124 -177.648 35.2981 -14.6137 60.102
1646000 -176.872 -173.431 -169.751 5.93347 -40.8263 98.3259
1647000 -63.713 -182.348 -222.631 70.4885 30.818 25.3103
1648000 -69.5386 -127.46 -99.5326 -7.50029 -60.9851 27.5478
1649000 -21.4662 -131.898 -206.14 81.3678 1.72155 123.436
1650000 -58.4272 -106.538 -48.9033 50.8333 28.5776 80.3172
1651000 -78.204 -162.415 -167.449 66.7522 25.0174 63.0993
1652000 -43.0601 -51.4196 -106.824 76.6938 -30.1681 64.0132
1653000 -65.8559 -190.089 -207.061 -20.6987 25.1601 29.0325
1654000 18.0273 -117.753 92.965 21.9398 36.4708 24.0138
1655000 -68.6632 -59.7669 -103.984 3.90562 -83.0448 56.1491
1656000 -99.1648 -227.74 -154.124 -23.1647 2.4017 26.4437
1657000 -126.73 -285.387 -65.5092 -63.7997 -14.3232 29.5793
1658000 -51.4269 -150.313 -101.244 -46.7333 -6.23086 -82.8139
1659000 -88.9907 -153.319 -208.11 15.4771 9.01866 34.5482
1660000 -174.552 -113.995 -137.615 0.336775 -20.9388 73.093
1661000 -208.813 -141.845 -292.128 60.8957 11.5703 -1.77459
1662000 -7.73761 -164.361 -108.205 -43.3442 -65.0607 -15.0501
1663000 -29.1798 5.72008 79.9243 -7.90085 18.0008 58.7338
1664000 -48.9597 -73.7139 -87.6057 -1.16504 -18.5521 65.857
1665000 -109.821 -35.797 -37.8617 5.14365 -117.738 120.773
1666000 44.5215 -117.98 -201.266 -37.8613 -20.5718 115.574
1667000 -125.549 15.1913 -226.859 -56.1327 -98.9004 174.548
1668000 24.9035 -142.103 -56.4986 -33.9281 -23.7823 109.601
1669000 -92.0621 -159.265 -148.514 -50.7277 -89.8026 60.1496
1670000 -53.3476 -164.6 -176.164 -15.4301 -26.8556 63.8967
1671000 -40.8169 -13.2407 -3.80409 -66.4828 -13.6754 81.9162
1672000 -75.1601 -167.207 -74.3569 -20.469 -56.9148 -0.667832
1673000 -123.942 -195.871 -162.698 2.7531 58.852 55.8141
1674000 -193.754 -99.3655 -143.056 -65.4085 50.891 96.4672
1675000 46.1589 -60.8642 -38.1891 -66.9958 -24.9951 46.2041
1676000 -68.6338 -78.48 -151.254 35.9105 -17.3096 82.2556
1677000 -90.2696 -11.4566 -83.4781 -18.358 9.75509 85.3846
1678000 -15.2088 -108.282 -102.515 -61.8309 44.2876 83.9292
1679000 -136.671 -97.4597 -163.912 -66.243 8.29065 63.8549
1680000 -85.6678 -109.695 -53.075 -95.442 -18.1009 26.3074
1681000 -54.6098 -200.65 -221.657 -80.5611 -74.9485 59.3653
1682000 -81.074 -116.866 -83.3353 -80.0693 -30.7768 92.7122
1683000 -92.2747 -195.473 -254.8 -16.3309 -28.2332 66.6285
1684000 -68.5242 -120.568 -125.265 -117.543 -3.72536 33.1872
1685000 -36.0591 -48.3294 -238.01 -63.8031 -34.9055 28.2765
1686000 -105.379 -130.721 -217.545 -67.5692 35.4422 79.8365
1687000 -86.8646 -81.7328 -277.236 -63.7609 77.5503 32.4874
1688000 -53.4512 -77.5393 -214.642 -71.0186 -28.0702 59.4849
1689000 -62.6054 -183.759 -340.652 -82.5572 24.6434 -47.8099
1690000 -73.6691 -31.167 -253.484 -40.2708 21.3224 12.1471
1691000 -118.973 -31.2621 -173.2 -111.972 32.0497 52.1304
1692000 -28.3315 -55.0832 -187.749 29.4705 17.3245 -22.4474
1693000 -12.2832 3.22838 -13.5926 -45.1701 66.7662 30.9714
1694000 -113.523 -99.0144 -188.494 -17.6191 36.7377 95.3231
1695000 -194.743 -67.0753 -101.772 -35.6453 9.71627 38.4377
1696000 -227.18 -61.0801 -150.964 -7.66335 72.6175 123.707
1697000 -18.5385 -5.83228 6.10132 26.1469 75.7832 51.7821
1698000 -6.82036 -15.7183 23.9883 -14.464 -4.21252 53.1454
1699000 45.1772 -103.352 -45.8125 43.5701 -56.2129 94.6406
1700000 0.970438 -78.9401 -93.6683 6.91902 -64.74 -40.0156
1701000 -43.3912 -94.1969 -82.1475 -7.79189 3.98248 15.6853
1702000 -57.0163 -121.685 -302.24 41.3886 13.8227 -60.2149
1703000 -238.641 -198.118 -239.738 -123.075 -25.504 62.7858
1704000 -136.995 -245.136 -100.904 -2.29373 -14.1688 -103.093
1705000 10.3617 -133.449 -218.275 42.6548 -12.0351 45.1613
1706000 -152.87 -138.997 -45.5738 44.5134 -49.7596 3.67473
1707000 -122.458 -33.5129 -69.0141 -72.0069 -31.5167 -15.5528
1708000 -209.747 -183.763 -38.3858 57.8705 -75.7255 -52.8547
1709000 -155.83 -24.9329 -77.7424 69.9361 4.47429 -48.7592
1710000 -199.598 -66.9112 -152.059 44.4172 -84.1133 61.3343
1711000 -93.5656 -76.1537 -205.471 10.4321 -6.62691 2.63476
1712000 -189.961 -182.378 -292.012 -13.9522 27.4932 -21.3067
1713000 -156.26 -43.3228 -229.085 -8.95571 -9.23159 -14.199
1714000 -3.95763 -125.962 -166.865 18.1271 -84.3158 26.2623
1715000 -16.3814 -103.984 -202.613 14.8094 -56.962 8.4644
1716000 -65.9083 -1.92699 -100.026 38.4216 -37.5582 -8.33445
1717000 -101.729 45.2408 -75.7994 36.6543 -34.9406 -6.36497
1718000 -40.8228 -88.2708 -101.931 -18.3224 12.2433 -28.1414
1719000 -65.4216 19.2184 -218.987 -13.1511 24.3259 -61.1213
1720000 -183.884 -3.96659 -132.555 42.6619 -101.62 35.9713
1721000 -164.675 -202.721 3.46347 41.4633 -39.1564 39.0764
1722000 -189.359 -74.0795 -95.4113 19.0792 5.71368 -22.1208
1723000 -240.044 -21.8695 -31.9825 58.9417 -28.1368 -22.2264
1724000 -223.122 -84.034 -107.155 101.797 -44.2994 14.1258
1725000 -97.1206 -116.124 -81.4108 42.8789 -29.6157 21.9467
1726000 -108.483 -10.7876 -3.3487 39.3282 7.11593 93.9224
1727000 -144.28 -87.1097 35.8497 110.629 -22.7027 103.055
1728000 -146.913 -22.1591 9.28403 -7.61022 -28.8841 -21.4231
1729000 -190.884 -60.2955 -43.0106 54.1244 32.5693 54.3825
1730000 -130.786 6.98166 -17.1251 38.0301 -85.876 45.4344
1731000 -169.403 -150.368 -19.3399 73.8656 -15.8553 51.7695
1732000 -88.0085 -64.2572 -143.31 116.425 26.8471 10.719
1733000 -195.519 -62.6269 -24.9504 -67.9487 -41.6148 45.5033
1734000 -201.657 -152.044 -40.0011 10.5181 35.6661 41.5354
1735000 -269.944 -138.583 -230.299 -51.6189 53.7736 40.3926
1736000 -241.642 -153.02 -175.883 -27.6856 -16.3896 33.501
1737000 -162.844 -189.941 -228.546 67.0606 -39.2594 60.457
1738000 -256.593 -6.89377 -164.344 98.6143 70.9359 16.7114
1739000 -167.815 -132.416 -112.205 30.2865 24.1455 -33.8138
1740000 -295.434 -122.389 -117.346 43.4308 -18.514 28.9139
1741000 -248.968 1.33501 -103.658 -55.4671 39.5764 27.8435
1742000 -224.823 -80.1009 -102.113 29.3953 -8.13963 -15.6261
1743000 -143.472 -90.8315 -150.943 -29.3287 16.4476 15.0351
1744000 -217.814 -125.75 -191.669 2.64385 40.2694 -78.1246
1745000 -118.062 -62.1854 -230.285 35.5879 -3.42028 -39.5885
1746000 -194.706 -106.512 -173.741 20.1475 21.1578 -12.8697
1747000 -204.876 -67.3764 -220.652 78.1827 26.7741 -1.06796
1748000 -269.283 -38.7457 -203.542 -75.0011 -2.2495 8.14327
1749000 -286.374 -97.8702 -196.069 -4.93362 63.6839 24.9708
1750000 -217.915 -111.299 -315.863 26.7885 9.16784 69.6362
1751000 -251.757 36.8285 -198.294 97.6369 -47.8904 39.1791
1752000 -137.146 -41.5258 -335.516 83.297 23.8781 87.6981
1753000 -196.825 -67.2283 -240.589 37.4675 12.0848 80.6283
1754000 -223.761 -52.8638 -146.971 31.9473 18.0321 6.41049
1755000 -292.637 -2.55276 -166.613 46.4309 -6.81673 -119.808
1756000 -96.418 55.2154 -135.833 124.753 -27.1731 -85.3091
1757000 -144.652 -6.39606 -170.348 33.6258 28.9795 1.05666
1758000 -199.252 -46.1067 -150.482 42.4118 39.2391 57.5509
1759000 -206.552 48.8606 -190.734 10.0116 23.8051 -33.5094
1760000 -251.962 75.85 -175.299 8.11175 13.0364 8.87705
1761000 -149.811 49.0173 -50.5946 -34.4915 26.6161 57.8633
1762000 -235.489 32.9575 -115.683 49.8211 6.09417 -20.8619
1763000 -172.53 3.79012 -74.671 -41.4434 3.61683 -69.6844
1764000 -185.729 -62.5653 -57.7224 -12.576 -18.2219 -2.88101
1765000 -80.796 -0.094134 -133.727 -17.8828 28.6718 -41.0521
1766000 -121.027 49.528 -146.197 -27.3821 30.6785 1.29632
1767000 -40.1771 -38.0499 -243.844 27.0006 -12.1847 70.1054
1768000 -171.472 68.0771 -164.415 1.64147 6.00576 62.6669
1769000 -33.0482 8.46916 -123.458 66.6059 -72.0488 67.6916
1770000 -13.501 44.4157 -87.7658 -32.7165 6.43929 60.0385
1771000 -103.601 15.6584 -143.18 -26.3048 -51.7527 61.658
1772000 -141.895 -98.9219 -207.02 -14.0304 3.35225 178.077
1773000 -98.8364 -8.79706 -73.2878 82.0774 4.39929 100.531
1774000 -122.716 55.8661 34.2759 -15.4431 26.4613 -5.7898
1775000 28.4813 0.667616 -137.291 -39.2205 23.7865 56.5557
1776000 -114.32 16.8974 -133.535 8.95416 35.2227 48.0846
1777000 -122.664 -126.274 -197.27 -41.4859 -4.44399 44.3187
1778000 -274.55 -254.758 -153.201 44.6197 -63.8539 21.17
1779000 -251.151 -44.9768 -131.636 15.2481 -59.5252 26.7132
1780000 -125.843 -14.7993 -169.535 31.3509 12.6344 22.5482
1781000 -104.103 -39.2116 -167.697 -10.9128 -99.4529 54.8495
1782000 -156.071 -30.8873 -118.26 83.3708 4.6332 56.3199
1783000 -189.392 -47.0945 -153.122 58.8506 -22.9717 58.9266
1784000 -316.487 -80.1181 -237.565 -1.68166 -58.2588 107.945
1785000 -206.64 -107.473 -112.66 37.025 63.6754 69.5379
1786000 39.5222 100.977 -49.0715 40.7302 18.5318 61.2119
1787000 -187.821 -39.3592 -5.96716 25.8156 48.9118 20.4472
1788000 -248.974 -3.15226 -145.092 48.4298 -0.313578 58.6536
1789000 -161.975 -85.5828 -137.375 30.7623 18.446 42.1275
1790000 -282.981 -109.964 -219.008 84.482 42.9636 28.5179
1791000 -173.088 -53.8712 -87.7355 -23.277 49.5333 -70.0236
1792000 -211.819 -126.503 -89.8286 48.6285 20.6607 -56.438
1793000 -221.602 70.4343 -100.882 51.8742 61.1654 49.9449
1794000 -312.079 -176.314 -235.196 -26.0806 60.6503 -27.7677
1795000 -249.445 -148.729 -303.502 59.5117 13.1354 30.567
1796000 -120.305 25.1737 -203.983 0.837232 58.2048 104.467
1797000 -61.9953 -59.393 -115.023 4.63867 41.5746 36.8549
1798000 -211.766 -57.8247 -28.0389 28.0062 96.5224 59.568
1799000 -243.775 -94.7964 -122.26 -47.7177 9.46391 -24.3386
1800000 -98.3012 -69.3587 75.0433 44.1159 -34.7643 30.2428
1801000 -106.197 -92.9124 -121.15 53.1729 24.7023 18.1715
1802000 -177.373 -111.391 -12.3862 62.3216 -16.048 7.29095
1803000 -44.2615 42.011 -74.2712 61.6061 -19.1408 53.0477
1804000 -29.8255 -67.4304 -98.0559 38.7247 59.4936 15.8778
1805000 -177.94 -191.222 -153.725 -18.4033 -57.017 62.8619
1806000 -103.735 -211.34 -157.172 -21.138 -6.60523 25.5387
1807000 -158.438 -237.003 45.2389 34.7999 28.6963 -7.49789
1808000 -144.498 -51.3753 -49.9993 7.42094 -127.416 11.0701
1809000 -162.858 -158.537 -29.8418 -49.45 -2.98485 13.8319
1810000 -173.972 -210.057 -115.276 -44.6495 -0.589839 -40.6492
1811000 -126.238 -146.817 -237.039 -57.2094 30.3093 0.0753094
1812000 -53.1795 -37.4356 -4.1611 -7.71303 -29.8483 68.8082
1813000 -178.371 -167.471 -244.235 -36.9287 -55.1607 20.2123
1814000 -127.228 -229.83 -51.0032 15.4558 60.5141 -128.885
1815000 -148.576 -258.541 -133.227 -17.1123 33.3952 -30.8169
1816000 -137.041 -181.65 -223.272 -36.7653 8.83169 37.6607
1817000 42.6041 -105.146 -108.08 -34.8422 65.1221 -118.771
1818000 -164.806 -265.029 -145.913 -33.1021 25.7851 -40.0628
1819000 -136.693 -277.69 -189.488 -28.4099 -24.8307 21.9148
1820000 -245.818 -244.101 -138.449 0.0464237 31.2822 66.3011
1821000 -237.782 -262.771 -209.57 15.1293 -9.48168 34.6115
1822000 -57.1125 -142.481 -153.352 22.9187 -53.6599 113.25
1823000 -206.608 -128.907 -167.104 79.4879 -109.44 73.7841
1824000 -186.822 -119.167 -86.9489 -4.0248 -7.32181 50.7148
1825000 -242.341 -365.119 -306.725 19.6889 -42.9833 -16.8827
1826000 -185.873 -326.515 -42.0021 5.48559 -50.9871 32.672
1827000 -18.3131 -231.326 -52.1696 32.0491 42.003 3.41313
1828000 -70.5709 -277.214 -45.8729 -5.696 -34.5953 88.8627
1829000 -239.414 -263.593 -211.766 6.78848 -123.17 38.8639
1830000 -123.64 -246.332 -83.1028 -8.54063 -130.117 78.1656
1831000 -76.1622 -304.35 -22.3862 51.7422 -32.81 40.5297
1832000 -76.6581 -261.116 -168.495 114.738 -20.4987 17.933
1833000 -36.8442 -300.519 -193.318 -27.3643 -81.662 -4.28275
1834000 -26.4905 -121.089 -32.6474 50.5382 -87.7447 -24.1881
1835000 -41.6435 -153.185 -76.997 49.7508 -38.7711 60.667
1836000 -113.01 -136.605 -61.0122 62.7775 -58.6104 50.3149
1837000 -157.276 -284.116 -176.914 13.306 -45.0491 47.7028
1838000 -225.74 -214.98 -139.303 -8.17315 -48.7954 8.89959
1839000 -190.959 -321.076 -252.322 9.31205 -28.9045 -64.9146
1840000 -52.0758 -251.746 -114.129 32.332 27.8955 -77.0836
1841000 -278.41 -357.56 -310.502 -3.28696 -79.9159 -98.6273
1842000 -265.232 -275.426 -166.705 -8.48787 -75.1003 -19.0663
1843000 -203.94 -206.096 -111.197 35.8515 -79.328 -29.657
1844000 -135.416 -239.182 -69.9818 69.5061 -41.777 -24.0221
1845000 -172.168 -262.749 -198.616 42.241 -46.6021 52.3006
1846000 -136.517 -247.298 -160.697 -8.77974 -108.757 -16.243
1847000 -210.916 -362.436 -266.76 -52.8962 -21.4307 -34.6571
1848000 -88.9287 -143.121 -65.2769 14.993 -41.7354 -43.1491
1849000 -44.9233 -115.98 1.05131 28.3871 -49.0827 29.733
1850000 -120.583 -112.493 42.2623 -35.9155 -6.15876 74.5094
1851000 -74.3485 -240.912 -18.7776 13.3921 -0.16294 55.0706
1852000 -157.063 -125.344 -127.688 -37.6584 -35.6212 8.25187
1853000 -113.004 -137.792 -181.096 7.08524 -78.8266 31.2915
1854000 -160.818 -113.706 -230.959 23.6549 -78.7278 -63.7793
1855000 -383.833 -167.838 -316.402 -11.3594 -94.3671 -11.8932
1856000 -191.061 -40.5977 -146.094 23.1441 -86.6293 19.4376
1857000 -202.184 -124.999 -243.766 37.057 -116.767 -88.8013
1858000 -186.911 -12.352 -290.01 -48.6496 -123.567 -9.83286
1859000 -224.752 -87.1146 -364.062 -30.4688 -96.3285 6.24056
1860000 -157.005 -122.429 -332.894 -13.1518 -150.625 7.09707
1861000 -196.359 -178.458 -316.889 -19.0132 -38.822 61.7429
1862000 -169.769 -53.6996 -213.646 -51.2643 -22.9194 -14.6616
1863000 -140.939 -174.458 -62.6484 -2.35601 23.5939 9.20844
1864000 -227.968 -130.474 -170.891 16.979 18.6082 19.7147
1865000 -250.961 -226.347 -348.761 16.6253 41.006 41.5695
1866000 -129.309 -197.29 -213.537 -17.6703 -57.7679 79.9663
1867000 -293.121 -246.223 -291.883 -25.771 -74.5461 19.9484
1868000 -233.907 -196.103 -315.624 46.7116 -14.1525 27.0658
1869000 -334.596 -264.128 -358.754 -10.0743 -67.7062 42.1979
1870000 -201.82 -223.115 -263.685 -48.7769 -23.2571 -0.47096
1871000 -183.916 -254.308 -217.101 29.0762 -11.8476 56.2475
1872000 -147.887 -220.135 -183.493 83.1833 -3.97928 4.66098
1873000 -126.656 -207.892 -231.946 -36.0065 -82.1778 62.2146
1874000 -11.3971 -58.8459 -195.954 -15.4967 -9.31761 77.9249
1875000 -96.9937 74.587 -199.532 -10.0099 -153.15 44.9734
1876000 -75.6505 131.673 -46.3796 24.3408 -17.9658 -16.6451
1877000 -194.667 -91.7772 -214.302 -20.9837 33.246 59.7819
1878000 -78.2208 21.2363 -165.365 -18.0196 -75.2495 12.8738
1879000 -75.557 -51.852 -207.762 -54.1611 -88.8862 45.6044
1880000 -86.8498 43.5604 -31.1919 -37.0306 -83.8232 64.2878
1881000 -9.99591 -20.2381 -154.947 -31.5147 -54.4139 18.212
1882000 21.9448 -2.57474 -168.758 13.6196 -110.724 63.6856
1883000 40.7655 5.29667 7.48313 28.1532 -25.9203 79.1564
1884000 -27.911 18.5061 -105.854 12.5315 -55.9008 40.4255
1885000 -106.047 14.3196 -43.8145 -13.3352 -9.82425 -17.8868
1886000 -100.759 -113.903 -13.9277 -45.3196 -61.2643 75.7404
1887000 -68.2019 -52.4007 -144.165 -13.2608 -76.8906 51.3128
