time(ps),viscosity(Pa.s)
0.0,0.0
100.0,0.01593150539800718
200.0,0.020610635872531435
300.0,0.02238673832227704
400.0,0.02511192251211125
500.0,0.032244409389312244
600.0,0.0402690165007332
700.0,0.04027983172235391
800.0,0.03623371829492691
900.0,0.037227989145592
