# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1587000 -30.1662 -57.1716 -137.637 -8.5676 20.2659 1.46335
1588000 -120.646 13.5406 18.0823 -12.2364 22.4783 -71.1446
1589000 -134.042 -56.2435 -224.867 46.3242 32.5005 41.0079
1590000 -117.894 -115.921 -29.9558 -64.2031 7.73382 -67.4532
1591000 -111.223 -16.0383 69.1713 -49.06 10.8836 -49.0029
1592000 -135.427 -94.0012 -100.385 -9.87177 -6.88199 -43.0728
1593000 -23.2983 -93.6929 3.83953 -25.6269 17.6392 -83.5953
1594000 -154.814 -188.056 -180.049 -58.1785 58.4658 -29.4215
1595000 -219.903 3.08315 -41.8645 8.54746 18.3451 -70.8039
1596000 -93.7016 -26.8647 -147.975 -65.0448 -15.9562 -87.0604
1597000 -81.4168 -169.058 -188.164 -12.4925 -40.2466 13.8439
1598000 -71.5952 -14.8481 -120.369 -23.053 64.2894 3.25873
1599000 -102.975 -62.6025 -103.377 -19.6712 30.9569 -1.83334
1600000 -63.504 -178.96 -24.5058 47.2954 128 -21.6914
1601000 -39.6902 7.10445 -39.3837 37.9528 -2.11406 -33.592
1602000 9.84977 -62.8235 37.2874 -56.6039 105.478 -25.9574
1603000 -6.68599 -0.523329 -78.5411 33.1761 -52.4222 -46.9611
1604000 27.1544 -78.1116 -44.2336 36.7569 -76.248 28.5097
1605000 -20.7512 4.56629 -142.986 33.7218 -13.1942 -14.6741
1606000 72.6407 -28.8191 64.433 -115.774 -21.5693 7.41358
1607000 -106.891 -130.805 -238.37 6.60197 31.2797 -74.5649
1608000 -42.2232 -39.9023 -106.505 -38.4544 -33.7984 -40.7095
1609000 15.841 -20.4151 -46.371 -11.117 -58.0124 -19.0557
1610000 104.722 -62.6016 -1.60769 -67.4804 -46.0951 -65.1842
1611000 44.1562 -123.716 -81.2995 -22.5134 -25.6412 59.6291
1612000 -34.216 -131.181 8.72784 29.5031 -88.7354 -6.44273
1613000 9.05907 -88.1121 22.3823 -17.4548 -21.6692 4.42518
1614000 -107.344 -28.6768 -89.5339 -88.711 -43.6881 83.3159
1615000 -35.5176 -8.3292 -1.36039 -63.5597 -56.2863 -6.65569
1616000 64.2181 21.6863 -20.8961 78.3973 -65.5087 4.68844
1617000 -21.5449 -101.301 -132.971 34.8066 -19.6441 -2.38551
1618000 -84.0546 -183.426 -81.5599 64.2732 17.5993 -77.959
1619000 -36.8037 -76.6392 -103.025 47.6399 55.0174 6.64587
1620000 50.4317 -54.6099 -1.26528 115.5 33.1411 -67.89
